id,subject,topic_code,topic_name,exam_year,question_type,part_no,difficulty_level,content,media_url,payload,metadata,is_active,published_by,created_at,updated_at
072a0c30-8c23-4583-8e79-371457422b20,math,derivative,Đạo hàm,2026,MULTIPLE_CHOICE,1,1,Nếu limₓ→₃ (f(x) − f(3)) / (x − 3) = 7 thì kết luận nào đúng?,,"{""options"":[{""id"":""A"",""text"":""f'(3) = 3""},{""id"":""B"",""text"":""f'(7) = 0""},{""id"":""C"",""text"":""f'(7) = 3""},{""id"":""D"",""text"":""f'(3) = 7""}],""explanation"":""Theo định nghĩa, f'(x₀) = lim₍ₓ→ₓ₀₎ (f(x) − f(x₀)) / (x − x₀). Ở đây x₀ = 3 và giới hạn bằng 7"",""correct_option_id"":""D""}","{""tags"":[""definition"",""limit""],""crawl_time"":""2026-04-12T16:11:00.955393Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_11""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
0a8db129-5955-4674-9d87-57208d29e344,math,derivative,Đạo hàm,2026,TRUE_FALSE_CLUSTER,2,2,Dùng định nghĩa để tính đạo hàm của hàm số f(x) = 2x³ . Khi đó,,"{""general_hint"":""Định nghĩa đạo hàm tại x₀ là giới hạn của tỉ số Δy/Δx khi Δx ->0. Khi tính giới hạn để tìm đạo hàm hàm đa thức, hãy sử dụng hằng đẳng thức (ở đây là a³ - b³) để triệt tiêu mẫu số (x - x₀). Sau khi có công thức đạo hàm f'(x) = 6x², chỉ cần thế số để kiểm tra các câu còn lại."",""sub_questions"":[{""id"":""a"",""text"":""Với bất kì x₀: f'(x₀) = lim [f(x)-f(x₀)]/(x-x₀)."",""is_true"":true,""explanation"":""Mệnh đề (a) đúng vì đó là định nghĩa cơ bản của đạo hàm. Bằng cách sử dụng giới hạn và hằng đẳng thức x³ -  x₀³, ta tìm được công thức đạo hàm là f'(x) = 6x². Từ đó: f'(1) = 6 (nên b sai), f'(0) = 0 (nên c đúng), và f'(2) = 24 (nên d đúng).""},{""id"":""b"",""text"":""f'(1) = -6."",""is_true"":false,""explanation"":""Mệnh đề (a) đúng vì đó là định nghĩa cơ bản của đạo hàm. Bằng cách sử dụng giới hạn và hằng đẳng thức x³ -  x₀³, ta tìm được công thức đạo hàm là f'(x) = 6x². Từ đó: f'(1) = 6 (nên b sai), f'(0) = 0 (nên c đúng), và f'(2) = 24 (nên d đúng).""},{""id"":""c"",""text"":""f'(0) = 0."",""is_true"":true,""explanation"":""Mệnh đề (a) đúng vì đó là định nghĩa cơ bản của đạo hàm. Bằng cách sử dụng giới hạn và hằng đẳng thức x³ -  x₀³, ta tìm được công thức đạo hàm là f'(x) = 6x². Từ đó: f'(1) = 6 (nên b sai), f'(0) = 0 (nên c đúng), và f'(2) = 24 (nên d đúng).""},{""id"":""d"",""text"":""f'(2) = 24"",""is_true"":true,""explanation"":""Mệnh đề (a) đúng vì đó là định nghĩa cơ bản của đạo hàm. Bằng cách sử dụng giới hạn và hằng đẳng thức x³ -  x₀³, ta tìm được công thức đạo hàm là f'(x) = 6x². Từ đó: f'(1) = 6 (nên b sai), f'(0) = 0 (nên c đúng), và f'(2) = 24 (nên d đúng).""}]}","{""tags"":[""definition"",""limit"",""calculation"",""power_rule"",""cubic_function""],""crawl_time"":""2026-04-12T16:11:00.956943Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_35""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
0f20ebee-7986-41b3-be37-e26bb9167b82,math,derivative,Đạo hàm,2026,MULTIPLE_CHOICE,1,1,Cho hàm số y=f(x) xác định trên R và có f'(2)=5. Phương trình tiếp tuyến của đồ thị hàm số y=f(x) tại M(2;1) là,,"{""options"":[{""id"":""A"",""text"":""y=5x+11""},{""id"":""B"",""text"":""y=5x-9""},{""id"":""C"",""text"":""y=5x-11""},{""id"":""D"",""text"":""y=5x+3""}],""explanation"":""Thay x₀ = 2, y₀ = 1, f'(2) = 5 vào công thức: y = 5(x - 2) + 1 = 5x - 9"",""correct_option_id"":""B""}","{""tags"":[""derivative"",""tangent_line"",""calculus""],""crawl_time"":""2026-04-12T16:11:00.954655Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_1""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
38ea8259-fcfe-4e45-86cc-40c0fa1bfc2d,math,derivative,Đạo hàm,2026,MULTIPLE_CHOICE,1,1,Tính đạo hàm của hàm số y = x³ + 1 tại x₀ = 2.,,"{""options"":[{""id"":""A"",""text"":""12""},{""id"":""B"",""text"":""13""},{""id"":""C"",""text"":""24""},{""id"":""D"",""text"":""9""}],""explanation"":""y' = 3x² rồi thay x = 2. y'(2) = 12"",""correct_option_id"":""A""}","{""tags"":[""calculation"",""basic"",""derivative""],""crawl_time"":""2026-04-12T16:11:00.956002Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_26""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
3905448e-a1fd-4ed5-bd40-2373b6b74097,math,derivative,Đạo hàm,2026,SHORT_ANSWER,3,2,Cho chuyển động s = 2t³ + 6t² − t. Vận tốc tức thời tại t = 3 s là bao nhiêu?,,"{""explanation"":""v(t) = 6t² + 12t − 1. Tại t = 3, v(3) = 6(9) + 12(3) − 1 = 54 + 36 − 1 = 89"",""exact_answer"":""89"",""accepted_answers"":[""89""]}","{""tags"":[""velocity"",""calculation""],""crawl_time"":""2026-04-12T16:11:00.955774Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_18""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
3af99877-2581-44eb-b21f-b835e3c74ffa,math,derivative,Đạo hàm,2026,SHORT_ANSWER,3,3,"Cân nặng trung bình của một em bé trong độ tuổi từ 0 đến 36 tháng có thể được tính gần đúng bởi hàm số w(t) = 0.00076t³ − 0.06t² + 1.8t + 8.2, trong đó t được tính bằng tháng và w được tính bằng pound. Tính tốc độ thay đổi cân nặng của em bé đó tại thời điểm 15 tháng tuổi (kết quả làm tròn đến hàng phần trăm).",,"{""explanation"":""w'(t) = 0.00228t² − 0.12t + 1.8. w'(15) = 0.00228 × (15)² − 0.12 × 15 + 1.8 = 0.513"",""exact_answer"":""0.51"",""accepted_answers"":[""0.51""]}","{""tags"":[""velocity"",""calculation""],""crawl_time"":""2026-04-12T16:11:00.955804Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_19""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
3ba5e100-edc9-4d52-a461-ba838fe40ca7,math,derivative,Đạo hàm,2026,SHORT_ANSWER,3,2,"Một viên đạn được bắn lên cao theo phương trình s(t) = 196t − 4.9t², trong đó t > 0. Tại thời điểm vận tốc của viên đạn bằng 0 thì viên đạn cách mặt đất bao nhiêu mét?",,"{""explanation"":""v(t) = s'(t) = (196t − 4.9t²)' . Khi vận tốc của viên đạn bằng 0 ($v(t) = 0$), ta có phương trình: 196 − 9.8t = 0 => t = 20. s(20)=1960 m"",""exact_answer"":""1960"",""accepted_answers"":[""1960""]}","{""tags"":[""velocity"",""physics_application"",""calculation""],""crawl_time"":""2026-04-12T16:11:00.955851Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_21""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
3d3d5140-8675-4e8e-a39d-1782fc389b9d,math,derivative,Đạo hàm,2026,SHORT_ANSWER,3,2,"Cho chuyển động thẳng xác định bởi phương trình s(t) = -1/3t³ + 4t² + 9t + 3, trong đó t tính bằng giây và s tính bằng mét. Tính quãng đường vật đi được từ lúc t = 0 đến lúc chuyển động có vận tốc bằng không.",,"{""explanation"":""v(t) = s'(t) = -t² + 8t + 9. Khi v(t) = 0, ta có: -t² + 8t + 9 = 0 ⇒ t₁ = -1 (loại vì t > 0), t₂ = 9. Vậy tại t = 9 giây, vật dừng lại. Quãng đường: Δs = s(9) − s(0) = 165 − 3 = 162 (mét)"",""exact_answer"":""162"",""accepted_answers"":[""162""]}","{""tags"":[""velocity"",""calculation"",""physics_application""],""crawl_time"":""2026-04-12T16:11:00.955948Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_25""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
3efe10af-31a1-4208-aeea-f27250d7986d,math,derivative,Đạo hàm,2026,MULTIPLE_CHOICE,1,2,Đạo hàm của hàm số y = eˣ² là,,"{""options"":[{""id"":""A"",""text"":""eˣ²""},{""id"":""B"",""text"":""2xeˣ²""},{""id"":""C"",""text"":""x²eˣ²⁻¹""},{""id"":""D"",""text"":""2eˣ²""}],""explanation"":""u' = 2x. Vậy y' = 2xeˣ²."",""correct_option_id"":""B""}","{""tags"":[""chain_rule"",""exponential_function"",""derivative""],""crawl_time"":""2026-04-12T16:11:00.956102Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_28""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
435adb46-2f25-45e5-ad0c-0e96eb218ead,math,derivative,Đạo hàm,2026,MULTIPLE_CHOICE,1,2,Một vật chuyển động s(t) = 1/3t³ - t² + t. Vận tốc tại t = 3 s là,,"{""options"":[{""id"":""A"",""text"":""4""},{""id"":""B"",""text"":""1""},{""id"":""C"",""text"":""3""},{""id"":""D"",""text"":""2""}],""explanation"":""v(t) = t² - 2t + 1. Tại t = 3, v(3) = 9 - 6 + 1 = 4"",""correct_option_id"":""A""}","{""tags"":[""velocity"",""calculation""],""crawl_time"":""2026-04-12T16:11:00.955503Z"",""quality_status"":""reviewed"",""source_provider"":""toanmath"",""source_question_id"":""MATH_DERIV_13""}",true,,2026-04-12 16:17:53.868879+00,2026-04-12 16:17:53.868879+00
